input,output
-8.855878604106258711e-01,-2.673548054260017182e+00
-3.174481897589815360e-01,-4.191802271419637016e+00
-8.060542592738385581e-01,-4.470522730014154789e+00
4.816309389066974478e-01,-2.514316901178997199e+00
-2.287565320394274737e-01,1.649365148866551500e+00
1.745659063229475783e-01,7.247597906484937180e-03
-1.569612607689501615e+00,-3.313174143174715702e+00
-1.483627482684878096e+00,-1.035639475669569620e+01
7.262145890278648430e-01,-3.670612453588775637e+00
2.021415748700395587e-01,3.609594974017420022e+00
1.100287136020822176e+00,4.253825077686288481e+00
-9.068998638339731411e-01,2.037193188271411604e+00
-7.816824136842640547e-01,-6.489612638688730506e+00
2.684907957704978365e-01,-2.098581335065789588e+00
6.057871584787514196e-01,3.247476127358481346e+00
-1.157425829506272041e+00,-5.962496165419191030e-01
2.986911087676632492e-01,-3.295950997436785990e+00
-3.109696802497631807e-01,8.168444832796226684e-01
6.234977553884123447e-01,1.581437257946277652e+00
-2.420364698500948042e-01,1.830981428280511247e+00
-2.190478515921020719e+00,-7.406122862457415579e+00
9.172649693554734140e-01,-5.736669525361592470e+00
4.536554432767650469e-01,5.736387839981856196e+00
6.958455681696475992e-01,3.895042309883013587e+00
-2.111349942112347833e+00,-3.874759091237548692e+00
-2.172667967495760591e-02,-8.505015707990740026e+00
5.971884284732786874e-01,1.619150662282301090e+00
-7.526827018685293413e-02,2.591979185760334037e+00
9.749730756814368737e-01,3.037816650454197909e+00
-7.253627834194708024e-01,7.585289589058310522e-01
1.248287101162603718e-01,-2.102894256093861269e+00
3.246298456309202329e-01,1.724992748675475696e+00
-3.743367830196274726e-01,8.149109387538148175e-01
4.620427647794477788e-01,-6.317379908815450307e-01
-1.840625074510659376e+00,-3.474553240669322030e+00
6.669971884331640233e-01,-5.531369029315200692e+00
-7.626368155292237092e-03,1.959698840632169814e+00
4.853136199378010329e-01,1.397904843195199476e+00
-1.029504775175214881e+00,-1.538651526912297118e+00
-5.040034222460718638e-01,-6.228267832566278805e+00
-1.168680715941984971e+00,-4.939800109258709604e+00
-1.407556940399639300e+00,-9.036125190770812665e+00
-1.118951502652582919e+00,-9.061262802636591118e+00
-1.363612818789095238e+00,-7.778213916603432310e+00
1.258009011297235746e+00,-2.501475236350558795e+00
-5.899196277124980625e-01,3.431134769453013433e+00
-7.516591713709158684e-01,-4.126177705887346114e+00
1.353406766663684646e+00,1.116973715186086569e+00
4.221270410624342606e-01,7.028183080102146540e+00
3.503247381441577102e-01,2.650004022458707365e+00
-4.987940721125962429e-01,-3.102597183132957959e-01
5.647426468375935649e-01,-6.867423719388221492e-01
1.506111707496716079e+00,6.997693053929964435e+00
-6.986226433279637549e-01,2.617405346786006337e+00
9.933245887812600650e-01,5.417009071603835491e-01
-7.532580322050026478e-01,1.983347812053474213e+00
8.911208666917591614e-01,-3.745179371098109611e-01
-1.732356465317690164e+00,-1.984233426686985435e+00
-3.920175198223702639e-01,-8.611525350987307093e+00
6.794161477901562440e-01,1.209857115718987908e+00
3.408957550350615318e-01,3.445149643454897159e+00
-9.591667987310531496e-01,-1.667364068489638695e+00
2.866516902610426465e-01,-2.741754173306546694e+00
-1.918118416004874760e+00,-4.831178483857126338e+00
2.208582815291478540e-01,-7.094409299834087079e+00
1.120742991063734983e+00,3.860952967690490567e+00
-1.678753409019395626e+00,-3.954574643889081642e-01
3.233844173320986060e-01,-4.863310676162656776e+00
6.656004845416257920e-01,3.223640984382261543e+00
-6.054098677502428583e-01,9.238353981205359444e-01
4.096538364909855234e-01,-9.917537544975164598e-01
3.424367702265460611e-01,2.440408063522728543e+00
-2.094136846496801319e-01,1.652684496804900371e-01
-9.499845211302522241e-01,-3.559587143729186387e+00
1.013104363904068217e+00,-4.782440468981007942e-01
7.723268359112573922e-01,5.856501928396530054e+00
3.020341446585868561e-01,3.583895150055321999e+00
2.207248223019170563e+00,7.507068157644131823e+00
9.860426788058537229e-01,1.266712904781562621e+01
1.019635278983847426e+00,7.189717347720708140e+00
-1.784446102818447732e-01,2.971676040532256646e+00
-5.629740755050912683e-03,-5.485212968418227142e-01
1.750423750248421229e+00,4.842872023549482208e+00
4.936647958862514507e-01,9.056301646929879823e+00
-9.937070033296904192e-01,-1.222656775834326526e+00
2.080874755079284433e-01,-3.704609728544584701e+00
-1.170602328852371921e+00,-2.703386061477929481e+00
1.260162283612467515e+00,-3.171949557148655563e-01
-1.370606443744080805e+00,2.307126881672290075e-01
4.710962277949112473e-03,-5.773644326578614816e+00
1.170517642565930938e+00,4.040415382377021025e+00
-1.184384765666986361e+00,1.159616536719035418e+00
-7.637971007882897734e-01,-7.418829583298785835e+00
-4.303966176315152103e-01,-4.049594235186615876e+00
-6.002352498913341439e-01,-3.288506600079506459e+00
-6.957084147429020149e-01,-4.660416950699054262e+00
-6.461259092568190088e-01,-5.192714828690337292e+00
-1.246037172597951326e+00,-6.646816187343540960e+00
-1.201620767087767216e+00,-8.983153823284471429e+00
-7.776537194243359277e-03,-4.560199879402054179e+00
